中央电视台,#genre#
CCTV1,http://video.migu.win/hls/cctv1.m3u8
CCTV2,http://video.migu.win/hls/cctv2.m3u8
CCTV3,http://video.migu.win/hls/cctv3.m3u8
CCTV4,http://video.migu.win/hls/cctv4.m3u8
CCTV5,http://video.migu.win/hls/cctv5.m3u8
CCTV5+,http://video.migu.win/hls/cctv5p.m3u8
CCTV6,http://video.migu.win/hls/cctv6.m3u8
CCTV7,http://video.migu.win/hls/cctv7.m3u8
CCTV8,http://video.migu.win/hls/cctv8.m3u8
CCTV9,http://video.migu.win/hls/cctv9.m3u8
CCTV10,http://video.migu.win/hls/cctv10.m3u8
CCTV11,http://video.migu.win/hls/cctv11.m3u8
CCTV12,http://video.migu.win/hls/cctv12.m3u8
CCTV13,http://video.migu.win/hls/cctv13.m3u8
CCTV14,http://video.migu.win/hls/cctv14.m3u8
CCTV15,http://video.migu.win/hls/cctv15.m3u8
CCTV16,http://video.migu.win/hls/cctv16.m3u8
CCTV17,http://video.migu.win/hls/cctv17.m3u8
CETV1,http://video.migu.win/hls/cetv1.m3u8
CETV2,http://video.migu.win/hls/cetv2.m3u8
CETV4,http://video.migu.win/hls/cetv4.m3u8
CGTN英语,http://video.migu.win/hls/cgtn英语.m3u8
CGTN纪录,http://video.migu.win/hls/cgtn纪录.m3u8
CGTN俄语,http://video.migu.win/hls/cgtn俄语.m3u8
CGTN法语,http://video.migu.win/hls/cgtn法语.m3u8
CGTN西语,http://video.migu.win/hls/cgtn西语.m3u8
CGTN阿语,http://video.migu.win/hls/cgtn阿语.m3u8

省级卫视,#genre#
江苏卫视,http://video.migu.win/hls/jsws.m3u8
广东卫视,http://video.migu.win/hls/gdws.m3u8
湖北卫视,http://video.migu.win/hls/hubws.m3u8
湖南卫视,http://video.migu.win/hls/hunws.m3u8
浙江卫视,http://video.migu.win/hls/zjws.m3u8
东方卫视,http://video.migu.win/hls/dfws.m3u8
北京卫视,http://video.migu.win/hls/bjws.m3u8
深圳卫视,http://video.migu.win/hls/szws.m3u8
东南卫视,http://video.migu.win/hls/dnws.m3u8
山东卫视,http://video.migu.win/hls/sdws.m3u8
安徽卫视,http://video.migu.win/hls/ahws.m3u8
天津卫视,http://video.migu.win/hls/tjws.m3u8
辽宁卫视,http://video.migu.win/hls/lnws.m3u8
江西卫视,http://video.migu.win/hls/jxws.m3u8
河北卫视,http://video.migu.win/hls/hbws.m3u8
重庆卫视,http://video.migu.win/hls/cqws.m3u8
贵州卫视,http://video.migu.win/hls/gzws.m3u8
吉林卫视,http://video.migu.win/hls/jlws.m3u8
四川卫视,http://video.migu.win/hls/scws.m3u8
海南卫视,http://video.migu.win/hls/hinws.m3u8
河南卫视,http://video.migu.win/hls/hnws.m3u8
广西卫视,http://video.migu.win/hls/gxws.m3u8
山西卫视,http://video.migu.win/hls/sxiws.m3u8
云南卫视,http://video.migu.win/hls/ynws.m3u8
陕西卫视,http://video.migu.win/hls/sxws.m3u8
甘肃卫视,http://video.migu.win/hls/gsws.m3u8
宁夏卫视,http://video.migu.win/hls/nxws.m3u8
青海卫视,http://video.migu.win/hls/qhws.m3u8
新疆卫视,http://video.migu.win/hls/xjws.m3u8
西藏卫视,http://video.migu.win/hls/xzws.m3u8
黑龙江卫视,http://video.migu.win/hls/hljws.m3u8
内蒙古卫视,http://video.migu.win/hls/nmgws.m3u8
大湾区卫视,http://video.migu.win/hls/dwqws.m3u8

其他频道,#genre#
每日经济新闻,http://video.migu.win/hls/mrjjxw.m3u8
财富天下,http://video.migu.win/hls/cftx.m3u8
第一财经,http://video.migu.win/hls/dycj.m3u8
点掌财经,http://video.migu.win/hls/dzcj.m3u8
魔都眼,http://video.migu.win/hls/sh_mdy.m3u8
金鹰纪实,http://video.migu.win/hls/jyjs.m3u8
中国天气,http://video.migu.win/hls/zgtq.m3u8
环球旅游,http://video.migu.win/hls/hqly.m3u8
四海钓鱼,http://video.migu.win/hls/shdy.m3u8
五星体育,http://video.migu.win/hls/wxty.m3u8
老故事频道,http://video.migu.win/hls/lgs.m3u8
CHC家庭影院,http://video.migu.win/hls/jtyy.m3u8
CHC动作电影,http://video.migu.win/hls/dzdy.m3u8
CHC影迷电影,http://video.migu.win/hls/ymdy.m3u8
